,description,end_date,exhibitors,lat,lng,location,name,start_date,type,visitors
1750,"The European Conference on Social Media will feature countries and been attended by a combination of academic scholars, public sector workers, practitioners and individuals who are engaged in various aspects of the social media industry. A number of journals are selecting papers from the conference for further development and publication.",2019-06-14,-1,50.842045,-0.119892,"Mithras House, Lewes Rd, Brighton BN2 4AT, Brighton, UK",European Conference on Social Media,2019-06-13,Conference,-1
1751,"Meyer on Leases will cover areas like Building Questionnaire, Sample Subordination, Nondisturbance and Attornment Agreement. It will teach you everything he knows in a style that is fun, inspiring, and easy to understand and put into action.",2018-06-21,-1,34.047858,-118.258374,"711 S Hope St, Los Angeles, CA 90017, Los Angeles, USA",Meyer on Leases,2018-06-21,Conference,-1
1752,"DEFCON is the world's longest running and largest underground hacking conference. Hackers, corporate IT professionals, and three letter government agencies all converge on Las Vegas every summer to absorb cutting edge hacking research from the most brilliant minds in the world and test their skills in contests of hacking might.",2018-08-12,110,36.114022,-115.169088,"3645 S Las Vegas Blvd Las Vegas NV 89109, Las Vegas, USA",DEFCON,2018-08-09,Trade Show,7000
1753,"Taste of Paris will feature chefs, media, foodies, influencers, retail chains, high-end and international customers, distributors, Improving brand awareness by benefiting from a comprehensive media strategy.",2018-04-22,500,48.84826,2.280806,"13-15 Quai André Citroën, 75015 Paris, France, Paris, France",A Taste of Paris,2018-04-15,Trade Show,20000
1754,"The Active and Passive RF Devices Seminar, organized by The Institute of Engineering and Technology will take place on 30th April 2018 at the iET London: Savoy Place in London, United Kingdom. The conference is an excellent opportunity to find out what your peers in industry and academia will develop next, and a chance to share your own research.",2018-04-30,-1,51.50995,-0.119235,"2 Savoy Pl London WC2R 0BL, London, UK",Active and Passive RF Devices Seminar,2018-04-30,Conference,-1
1755,"Marine Money Week Asia will display products like Marina Developers, Motor boats, Sailing boats & yachts, Ship management, Small boats, Water skiing equipment, Water sports clothing, Water tourism, Windsurfing & equipment and much more.",2019-09-25,-1,1.30549,103.826074,"29 Tanglin Rd 247911, Singapore, Singapore",Marine Money Week Asia,2019-09-24,Conference,-1
1756,"The Controllership Forum: Strategies for Success Santa Clara will provide a platform to discover how to succeed in uncertain times by using new real-world strategies to obtain credit, deal with capital, reduce overhead costs, develop smarter budgets, utilize the latest business performance metrics and boost profitability.",2018-10-30,-1,37.383886,-121.978448,"2885 Lakeside Dr, Santa Clara, CA 95054, Santa Clara, USA",Controllership Forum: Strategies for Success,2018-10-30,Conference,-1
1757,Nurse Prescribing conference provides essential updates for current and aspiring nurse prescribers in cardiology and cardiovascular care. In this event you will Update your knowledge on national developments including the Royal Pharmaceutical Society's Single competency framework for all prescribers which is being proposed by he NMC as the new standard of proficiency for nurse and midwife prescribing practice and Gain cpd accreditation points contributing to professional development and revalidation evidence and much more.,2019-04-29,50,51.518759,-0.1446,"9-10 Portland Pl Marylebone London W1B 1PR, London, UK",Nurse Prescribing,2019-04-29,Conference,-1
1758,"The Chief Digital Officer Innovation Summit will feature discussions on topics like Defining Digitization and the Role of Enterprise Structure, Forging Collaborative Transformation with Other C-suite Executives, Creating and Monetizing New Business Models enabled by New Technologies, Leading Organization Changes and Shifting Corporate Culture, Integrating Digital Technologies through the Enterprise without Losing Continuity, Bridging Knowledge Gaps and Developing Digital Talents, and Diversify into New Digital Operations: Success Stories and Lessons Learnt.",2019-03-21,50,1.31249,103.853967,"1 Farrer Park Station Rd 217562, Singapore, Singapore",Chief Digital Officer Innovation Summit,2019-03-21,Conference,-1
1759,"Educating with Empathy focuses on the importance of compassion, collaboration, and empathy, ways to teach and train these skills in children and teens, and why they are essential for academic and life success. It discovers that positive emotional behaviors are hardwired in the brain and are essential for human survival, especially in today's caustic, chaotic world.",2019-02-17,-1,37.792426,-122.410603,"950 Mason St, San Francisco, CA 94108, San Francisco, USA",Educating with Empathy,2019-02-15,Conference,-1
1760,"International Conference for Dispersion Analysis & Materials Testing will feature Particle & Surface Characterization, Real-time & Accelerated Stability, Processing, and Materials Testing.",2019-05-23,-1,52.5170365,13.3888599,"Berlin, Germany",International Conference for Dispersion Analysis & Materials Testing,2019-05-22,Conference,-1
1761,"Cowboy Christmas, the longest running and ONLY ""Original"" gift show of the Wrangler National Finals Rodeo boasts over 300,000 square feet of show floor hosting 400 plus vendors from across the United States and Canada. Each year these vendors showcase their unique products which include: customized jewelry, western wear, boots and spurs, furniture, original art, handmade crafts and pottery.",2018-12-15,300,36.131998,-115.151681,"3150 Paradise Rd Las Vegas NV 89109, Las Vegas, USA",Cowboy Christmas,2018-12-06,Trade Show,50000
1762,"Hong Kong Advanced Audiovisual Exhibition is the biggest and most exciting home entertainment expo, which is the most famous event representing Audio Visual Technology all over Asia. The soundtrack has become popular software over the years with an intent to provide the best quality music system loved by a wide of audiophiles. In all, it is a great event which allows people all over the world to access to various music culture.",2019-08-11,130,22.283219,114.173103,"1 Expo Dr Wan Chai, Hong Kong, Hong Kong",Hong Kong Advanced Audiovisual Exhibition,2019-08-09,Trade Show,25000
1763,"Two full days of jewellery, fossils, crystals, minerals, gemstones and curios. Traders from around Australia come together for this amazing Expo which has now been operating for over 30 years. Come along and gaze at the life size dinosaur replica. Buy direct gemstones. Meet award winning local jeweller and buy that one off special piece or have her design your own. Meet the Northern Districts Lapidary Club and find out what they do and where they meet. We have it all here. A Fossil or Mineral for your Collection or a special piece to decorate your home.",2019-08-25,500,-33.764342,151.04812,"645-671 Pennant Hills Rd, Beecroft NSW 2119, Australia, Carlingford, Australia",Carlingford Gem And Mineral Expo,2019-08-24,Trade Show,5000
1764,"New York Photo Show hosts well-known dealers, an easy to find location, and amazing photographs. Contemporary and vintage photos of all types will be featured. Daguerreotypes, ambrotypes, tintypes, snapshots, art and historical photography and more.",2019-04-07,500,40.768268,-73.987414,"440 W 57th St, New York, NY 10019, New York, USA",New York Postcard Expo,2019-04-06,Trade Show,5000
1765,"Annual Asia Pacific Energy Assembly is the most senior and influential finance & investment meeting for the Asian energy sector. This is why every year, for the last 8 years, hundreds of C-level executives and decision-makers from across the Upstream and Midstream value chains gather in Singapore to discuss industry challenges, find solutions, identify emerging opportunities, raise capital and create deal flow.",2018-01-25,-1,1.293956,103.853347,"80 Bras Basah Road, Raffles City Shopping Centre 189560, Singapore, Singapore",Annual Asia Pacific Energy Assembly,2018-01-24,Conference,-1
1766,"Chris Rapley Stamp & Postcard Fair will showcase products like Postcards, modern postcards, cigarette cards, stamps, trade cards, ephemera, postal history and accessories and much more etc. in the Consumer & Carnivals, Paper and Paper Products industries, issue Postcards, modern postcards, cigarette cards, stamps, trade cards, ephemera, postal history and accessories and much more. Postcards are fascinating and collectible in lots of different ways. Each is a snapshot of the past: a moment, a slice of social history, frozen in time.",2019-06-15,500,51.339604,0.728904,"Carmel Hall, Ufton Ln, Sittingbourne ME10 1JB, Sittingbourne, UK",Chris Rapley Stamp & Postcard Fair Sittingbourne,2019-06-15,Trade Show,5000
1767,"Facon Education Fair provides a venue for you to meet education experts and counsellors to discuss your further education path, with renowned international and local institutions of higher learning readily to assistance at the fair. The information and advice gathered at the fair will help you make a better choice.",2019-03-30,50,1.486024,103.762875,"33, Jalan Seladang, Taman Abad, 80250 Johor Bahru, Johor, Johor Bahru, Malaysia",Facon Education Fair - Johor Bahru,2019-03-30,Trade Show,3000
1768,"This conference on breast cancer has many sessions covering all the important facts and information about breast cancer, its type, diagnosis, treatments, and innovations in treatment and research in the particular field with special focus on importance of breast health education among women and its awareness among different age groups. The eminent persons of the scientific community who has contributed a lot towards innovations in the treatment of breast cancer, its research, breast cancer awareness and psychological impacts are the participants of this huge gathering. The aim of this conference is to help people connect to different scientific brains and get to know about breast cancer in a broader aspect.",2019-09-14,-1,41.822921,12.412111,"Viale Castello della Magliana, 65, 00148 Roma, Rome, Italy",Global Expert Discussion on Breast Cancer,2019-09-12,Conference,-1
1769,"NESA Spring Educators Conference intends to introduce a new format designed to support deep learning through extended workshops and collaborative inquiry. The event supports educators in a powerful stance of inquiry, growth mindset, practice and reflection.",2019-03-31,50,13.720946,100.514015,"89 Soi Wat Suan Plu Khwaeng Bang Rak, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Bangkok, Thailand",NESA Educators Conference,2019-03-29,Conference,-1
1770,"The MATSDA University of Liverpool Conference Authenticity and L2 Materials Development conference will cover areas like bring together researchers, publishers, writers and teachers to work together towards the development of high quality materials for the learning of languages.",2019-06-16,-1,53.405936,-2.965572,"Liverpool L69 3BX, Liverpool, UK",MATSDA University of Liverpool Conference Authenticity and L2 Materials Development,2019-06-15,Conference,-1
1771,"SFDW is an essential week-long city-wide festival that showcases the unique intersection of ideas, design, business & entrepreneurism that makes the Bay Area the birthplace of the future. Now a global phenomenon, San Francisco's international success is born from historically free-spirited entrepreneurialism, coupled with the imaginative vision of contemporary design and state-of-the-art technology. Pioneers of new ways of looking at the world, nimble Bay Area start-ups are now among the world's most influential design-led companies, producing products, services and experiences that profoundly influence the daily lives of billions of people globally.",2018-06-08,500,37.805059,-122.401142,"The Embarcadero, San Francisco, CA 94111, San Francisco, USA",San Francisco Design Week,2018-06-07,Trade Show,20000
1772,"Bibs & Expo event showcases products like Schneider Electric Marathon de Paris is now one of the biggest marathons in the world, as much for the size of its field as the performances of its runners. Each finisher comes home with incredible memories etc.",2019-04-13,500,48.8566101,2.3514992,"Paris, France",Bibs & Expo,2019-04-11,Trade Show,5000
1773,"The trade show SITL Paris - Logistics Solutions Trade Show takes place in Paris, France. The frequency of the trade show is annual, in alternation with SITL Europe. In 2017 523 exhibitors seized the trade show SITL Paris as a presentation platform for their products and services. With their trade show participation exhibitors occupied 9358 sqm. 14289 visitors attended SITL Paris to inform themselves on innovations and trends in their business. The main exhibit sectors of the trade show SITL Paris are:Transport and Logistics Services: transport companies (road, rail, air, sea), vehicle rental, ports, airports, logistics platforms and warehouses, logistics service suppliers. Information Technology Logistics: IT solutions, EDI, automatic identification. Transport and Logistics Equipment: paletts, rolls, packing for transport, storage, shelves, containers. With: Transport Next Generation - innovative transport. Reed Expositions France is the trade show organizer in charge of SITL Paris.",2019-03-28,-1,48.8566101,2.3514992,"Paris, France",SITL Paris,2019-03-26,Tradeshow,14289
1774,"InterCon is a leading global technology conference that brings together the brightest minds in technology under one roof to offer opportunities for learning, networking, and growth. By means of insightful sessions and brainstorming discussions, knowledge sharing is promoted to give new perspectives. As technology is the most vital organ of today's business structure, InterCon unites thought leadership and the latest advancements to empower thousands of tech enthusiasts around the world.",2019-06-20,7,36.102576,-115.170253,"3799 S Las Vegas Blvd, Las Vegas, NV 89109, Las Vegas, USA",InterCon,2019-06-18,Conference,-1
1775,"Richmond Communication Directors Forum provide opportunities to connect and engage with your industry community. Discover more about your industry through a blend of CPD accredited conference sessions and individual supplier meetings. The Communication Directors Forum allow you to make new connections with people face to face, in person, real time. We believe in the power of being present. In a technological era, face to face interaction is still the most effective way of forming collaborative business connections.",2018-11-23,50,51.677052,-0.436857,"Chandler&#039;s Cross, Watford WD3 4TG, Chandler&#039;s Cross, UK",Richmond Communication Directors Forum,2018-11-22,Conference,-1
1776,"Julie & John Webb Toy Collectors Fairs Brentwood is a family friendly event jam-packed with thousands of current and vintage hard-to-find toys, comics, movie memorabilia, transformers, model kits, superheroes, playsets, character toys, small antiques, anime, DVDs, posters, military, action figures, sports and non-sport cards, and much more.",2019-07-27,500,51.634671,0.300083,"Doddinghurst Rd, Brentwood CM15 9NN, Brentwood, UK",Julie & John Webb Toy Collectors Fairs Brentwood,2019-07-27,Trade Show,20000
1777,"The Manor Wedding Show provides the attendees with the opportunity to meet with wedding professionals who will provide them with the information regarding everything needed to plan a perfect wedding starting from cakes to catering, photographers, DJs, dresses, venues, tuxes, and much more.",2019-09-15,500,51.828986,-0.040701,"Ware SG12 0SD, Ware, UK",Hanbury Manor Wedding Show,2019-09-15,Trade Show,5000
1778,"MILK Business Conference is a one-of-a-kind networking event where you gain an amazing amount of knowledge from meeting with top dairy business owners. Have rare access to leading industry experts and influencers. Discover the secret of how to take care of yourself, and your family, while you're growing your business. This is the ONLY conference that focuses exclusively on every business aspect of your operation so this should be the ONE conference you attend.",2018-11-07,50,36.112541,-115.170671,"3655 S Las Vegas Blvd, Las Vegas, NV 89109, Las Vegas, USA",Milk Business Conference,2018-11-05,Conference,-1
1779,"The Pediatric and Adult Interventional Cardiac Symposium, organized by the Rush University Medical Center will take place from 5th September to 8th September 2018 in Las Vegas, USA. The conference will cover areas like clinical focus with addition of taped cases to sessions on both congenital and structural heart disease.",2018-09-08,50,36.102576,-115.170253,"3799 S Las Vegas Blvd, Las Vegas, NV 89109, Las Vegas, USA",Pediatric and Adult Interventional Cardiac Symposium,2018-09-05,Conference,-1
1780,"Salon des Vins des Vignerons Independents Paris will discover various kinds of wines, spirits, sparkling wine, champagne, and delicatessen, oils & vinegar, beer product & much more.",2018-04-29,500,48.886645,2.289089,"6 Rue Jean Oestreicher, 75017 Paris, Paris, France",Salon des Vins des Vignerons Independants Paris,2018-04-27,Trade Show,20000
1781,"International Conference on Innovation Research in Manufacturing, Engineering Science & Technology Applications conference provides opportunities to the researchers to exchange new ideas and application experiences face to face, to establish business or research relations and to find global partners for future collaboration. Boundaries between state of the art and revolutionary innovation constitute the computing frontiers that must be pushed forward to provide the support required for the further advancement of various fields of engineering & technology.",2019-04-06,50,22.329917,114.193043,"30-38 Sa Po Rd Kowloon City, Hong Kong, Hong Kong","International Conference on Innovation Research in Manufacturing, Engineering Science & Technology Applications",2019-04-05,Conference,-1
1782,"The Biopharma offers a best platform with its well organized scientific program to the audience which includes interactive panel discussions, keynote lectures, plenary talks and poster sessions on the topics Biopharmaceutics, Drug delivery, Biopharmaceutical Informatics, Novel Approaches, Clinical Trials on Biopharmaceutical Products, Analytical Characterization of Biotherapeutics, current issues in Bioequivalence of Oral Products, Biosimilars and Biologic Drugs, new scientific approaches to international regulatory standards. The conference invites delegates from Biopharma laboratories, Pharmacists, Academicians, Clinicians, Researchers, Health care professionals.",2019-08-29,-1,25.0750095,55.1887608818,"Dubai, UAE",International Conference on Biopharma and Biotherapeutics,2019-08-28,Conference,-1
1783,"The NOJEX Stamp Show illustrates stamps and covers for collectors with thirty dealers from around the country and a competitive exhibition of two hundred and forty frames of philatelic rarities.It serves collectors, educators, postal historians, and the general public by providing a wide variety of programs and services.",2018-10-21,500,40.805366,-74.077828,"2 Meadowlands Plaza, East Rutherford, NJ 07073, East Rutherford, USA",Nojex Show,2018-10-19,Trade Show,5000
1784,"Wearable Technology Show will offer a unique opportunity to hear from some of the leading experts in wearable technology, view the latest product demonstrations from around the world and network with the industry.",2018-03-14,500,51.535472,-0.104971,"Business Design Centre Ltd,, 52 Upper St, London N1 0QH, London, UK",Wearable Technology Show,2018-03-13,Trade Show,50000
1785,"Empire State Tattoo Expo exists to defend the honor of American popular culture through innovative exhibitions and performances. Presenting and producing exciting new works, our approach is rooted in mass culture and the traditions of P.T. Barnum, dime museums, burlesque, circus sideshows, vaudeville, and Coney Island itself.",2018-07-15,500,40.762356,-73.979626,"1335 6th Ave New York NY 10019, New York, USA",Empire State Tattoo Expo,2018-07-13,Trade Show,20000
1786,"2nd OLED Technologies summit  provides a platform to discuss the latest advancements in OLED technologies and applications that constitute an extremely powerful lever for cross-industry innovation. The purpose of the conference is to create a perfect atmosphere conducive to developing strategies for future success and achieving real results, while encouraging active networking",2018-10-26,50,52.507413,13.363806,"Stauffenbergstrase 26 10785 Berlin, Berlin, Germany",OLED Technologies summit,2018-10-25,Conference,-1
1787,Wound Conference will bring medical practitioners and healthcare professionals up to date with the latest information and most effective forms of treatment.,2019-06-28,-1,-33.733326,151.099928,"185 Fox Valley Rd, Wahroonga NSW 2076, Wahroonga, Australia",Wound Conference,2019-06-28,Conference,-1
1788,"This prestigious gathering is to exchange views, visions and valuable information on the yachting future,  the which will make this forum another imperative and meaningful event. The Super Yacht Americas by Mare Forum conference will feature many high profile speakers from yachting companies, yacht builders, designers, brokers, managers, service providers, charterers, ports, marinas, classification societies, financial institutions, associations, lawyers, accountants, registries, insurers, regulators, brokers, captains and the media.",2019-10-31,50,26.1223084,-80.1433786,"Fort Lauderdale, USA",Superyacht Americas,2019-10-31,Conference,-1
1789,"Wedding Fair Aschaffenburg will showcase products like wedding dresses, bridal wear, bridal shoes, bridal bouquets,  groomsman, decorative items, invitation cards, party favours, gift ideas, dishes, hair fashion, men's fashion, wedding accessories, wedding decoration, wedding floristry, wedding photography, wedding music, wedding service, wedding cakes, jewellery, place cards, wedding rings, etc.",2018-01-14,100,49.976507,9.144126,"Schlospl. 1 63739 Aschaffenburg, Aschaffenburg, Germany",Wedding Fair Aschaffenburg,2018-01-14,Trade Show,1000
1790,"World's Greatest Collector Auctions will offer the most diverse and desirable inventory, accompanied by trustworthy and transparent customer service.",2018-09-29,500,36.088308,-115.177853,"3950 S Las Vegas Blvd, Las Vegas, NV 89119, Las Vegas, USA",World&;s Greatest Collector Auctions,2018-09-27,Trade Show,20000
1791,"The International Watch & Jewelry Guild (IWJG) is the world's most active central exchange for acquiring, buying, selling and trading fine watches; vintage, collectable timepieces, estate jewelry, and important diamonds. Our members trade in vintage and modern watches, jewelry, diamonds, gold, gems, pens, coins, stamps, clocks, estate jewelry, antique jewelry, entire store stocks, entire manufacturer stocks, and close-out lots.",2019-06-25,500,25.770889,-80.190955,"400 SE 2nd Ave, Miami, FL 33131, Miami, USA",International Watch & Jewelry Guild Show - Maimi,2019-06-24,Trade Show,7600
1792,"Gig Harbor Summer Art Festival is a 2 day event being held from July 20th to 21st, 2019 at the Gig Harbor Downtown Waterfront Alliance in Gig harbor, United States Of America. This event showcases products like live music, food, a literary corner for authors and illustrators and an art.Every summer, fine artists and crafters etc. in the Gifts & Handicrafts industry.",2019-07-21,500,47.3259697,-122.5878659,"Gig Harbor, USA",Gig Harbor Summer Art Festival,2019-07-20,Trade Show,20000
1793,"The conference will enable you to network with colleagues working to improve the physical health outcomes for people with mental health conditions, reflect on the lived experience, learn from established practice in the assessment and management of physical health conditions, update your knowledge on national developments, and much more.",2018-04-16,50,51.518759,-0.1446,"9-10 Portland Pl Marylebone London W1B 1PR, London, UK",Improving Physical Health for People with Mental Health Conditions,2018-04-16,Conference,-1
1794,"Attend MBA's Secondary and Capital Markets Conference & Expo to make the connections you need to take your business to the next level. It is the place for wholesale and correspondent lenders to connect, along with lenders and vendors that contribute to the pipeline of selling loans into the secondary market. We bring together the regulators, experts and key industry officials that help inform and educate you on the latest happenings in our industry in order to create the opportunities and inspire the innovation to produce market-based solutions. See the full agenda for informative General Session, break out sessions, networking events and more. Who Should Attend: industry leaders and decision makers from residential and capital markets, including CEOs and senior-level executives, mortgage investors, investment bankers, rating agency professionals, risk managers, mortgage lenders, mortgage insurers, FHLB members, regulators, REITs, wholesale, correspondent and retail production executives, buyers and sellers of distressed assets, mortgage brokers and warehouse lenders.",2019-04-10,50,40.76256,-73.981559,"811 7th Ave, New York, NY 10019, USA, New York, USA",Capital Markets Summit,2019-04-10,Conference,-1
1795,"PACK PRINT INTERNATIONAL is an international packaging and printing exhibition that is known displaying wide varieties of printing equipments, printing services, printing accessories and essentials, printing technologies, packaging materials and equipments, packaging solutions and techniques, packaging products and essentials. It is an international exhibition of Asia that has been displays the latest and the greatest of products and aims to connect buyers and sellers, from all around the world. It also widens sponsorship and advertising opportunities for potential corporate.",2019-09-21,500,13.669887,100.61001,"88 Bangna Trad Road Khwaeng Bang Na Bangna BANGKOK 10260, Bangkok, Thailand",PACK PRINT INTERNATIONAL,2019-09-18,Trade Show,50000
1796,Mobile Trends New York Summit is a platform where you will hear from mobile marketing experts about the key developments on the horizon and how they will impact your business. You'll also learn how to harness their potential and steal a march on the competition by gaining a deeper understanding of their implications. Sign up for the Mobile Trends Masterclass today to experience first-hand our unique blend of formal presentations and in-depth round table discussions that delivers more learning and insight than you would think possible from a half-day event.,2019-10-29,-1,40.753587,-73.976627,"MetLife Building, 200 Park Ave, New York, NY 10166, USA, New York, USA",Mobile Trends New York Masterclass,2019-10-29,Conference,-1
1797,"The International Conference on Computer and Information Engineering provides the premier interdisciplinary forum for researchers, practitioners and educators to present and discuss the most recent innovations, trends, and concerns, practical challenges encountered and the solutions adopted in the field of Computer and Information Engineering.",2019-04-22,50,45.4371908,12.3345898,"Venice, Italy",International Conference on Computer and Information Engineering,2019-04-21,Conference,-1
1798,"Digital Health Conference will cover topics like Digital Medicine and Digital Therapeutics, Virtualization of Care, Research and Evidence for Digital Health, Payment for Digital Health Solutions, User-Centered Design and Patient Activation, Pharmacy Team Roles and Workflow Integration, etc.",2019-10-13,50,33.788048,-117.916775,"12015 Harbor Blvd, Garden Grove, CA 92840, Garden Grove, USA",Digital Health Conference,2019-10-12,Conference,-1
1799,"Synthetic Biology Conference is Europe's leading international synthetic biology conference for innovators and experts in synthetic biology research, commercialization, investment, and policymaking. It will focus on the greatest opportunities and challenges for building a multibillion-dollar synthetic biology industry that will contribute to the fast-growing bio-economy.",2019-06-25,50,51.500222,-0.129027,"Broad Sanctuary, Westminster, London SW1P 3EE, London, UK",Synthetic Biology Conference,2019-06-24,Conference,-1
1800,"Spring Open Studios will showcase products like Original artworks, include paintings, sculpture, photography, prints, jewelry, ceramics installation art, and textiles, etc.",2018-04-22,500,37.720653,-122.367343,"Hunters Pt, San Francisco, CA 94134, USA, San Francisco, USA",Spring Open Studios,2018-04-21,Trade Show,5000
1801,"Cider Summit Seattle is the region's largest hard cider tasting festival. The event features nearly 200 ciders, meads, and cider cocktails.",2018-09-08,50,47.627718,-122.336716,"860 Terry Ave N Seattle WA 98109 USA, Seattle, USA",Cider Summit Seattle,2018-09-07,Conference,-1
1802,"Annual Private Wealth West Forum is designed to bring together more than 250 attendees including more than 150 leading RIAs, family offices, Private Banks and HNW wealth managers from across the region for a day of peer networking and knowledge share. Our agenda will cover asset allocation, alternative investing, asset protection as well as regulatory compliance and an outlook of the financial markets and the global economy.",2018-07-18,50,47.6038321,-122.3300624,"Seattle, USA",Private Wealth Pacific Northwest Forum,2018-07-18,Conference,-1
1803,"The goal of Electrochemistry Conference is to disseminate new ideas and methods of  relevance to Electrochemistry by gathering professionals under one roof. Electrochemistry  Conference is expecting 200+ participants and we would like to know your interest to be a delegate, sponsor, exhibitor, collaborator at our conference. Kindly follow the link to know more details about our conference.",2019-05-28,-1,41.566229,2.282373,"AP-7 Km 12 5 08410 Barcelona Spain, Granollers, Spain",International Conference on Electrochemistry,2019-05-27,Conference,-1
1804,"Global Women in Data Science Conference aims to inspire and educate data scientists worldwide, regardless of gender, and support women in the field. This annual one-day technical conference provides an opportunity to hear about the latest data science-related research and applications in a broad set of domains.",2018-03-05,50,37.427475,-122.169719,"450 Serra Mall, Stanford, CA 94305, Stanford, USA",Global Women in Data Science Conference,2018-03-05,Conference,-1
1805,Blood Brain Barrier aims to explore and encourage new conceptual approaches and to apply novel methods to the neuroprotective physiologies of BBB structures. Their goal is pair genetic model organism biological methods with recent insights in vertebrate BBB physiology and development.,2019-04-06,230,40.858055,-73.466932,"1 Bungtown Rd, Cold Spring Harbor, NY 11724, Huntington, USA",Blood Brain Barrier,2019-04-03,Conference,-1
1806,Events Fundraising: Strategy & Planning course is designed for people who have been working in an event fundraising capacity for 2 years plus. The course includes content related to people management and therefore learners should either be new managers or aspiring to a managerial role within the event fundraising field.,2019-06-21,50,51.500247,-0.132806,"Charter House, 13 - 15 Carteret Street, London, Westminster SW1H 9DJ, London, UK",Events Fundraising: Strategy & Planning,2019-06-20,Conference,-1
1807,"The FIA conference Melbourne Convention & Exhibition Center, organized by the Fundraising Institute Australia will take place from 7th March to the 9th March 2018 in Chatswood, Australia. The conference will cover areas like Inspiring international speakers, Extraordinary home-grown talent, Skills and techniques and Trends and ideas.",2018-03-09,-1,-33.8548157,151.2164539,"Sydney, Australia",FIA conference Melbourne Convention & Exhibition Center,2018-03-07,Conference,-1
1808,"In 2018 the tradeshow Bizbarcelona - Solutions for SMEs and Entrepreneurs served as a presentation platform for 87 exhibitors. These tradeshow exhibitors presented their companies and services on a total of 1587 sqm at Bizbarcelona. 7120 visitors came to Bizbarcelona to inform themselves on the latest trends and innovations in the following main exhibit sectors: Finance, investors and insurance, franchises and related businesses, product and service providers for entrepreneurs, small and medium enterprises and the self-employed, public bodies, training and social networks. In general the following kind of visitors are welcome at Bizbarcelona: Trade visitors. The frequency, at which Bizbarcelona is held, is annual. Bizbarcelona is hosted by the trade show organizer Fira de Barcelona.",2019-06-13,-1,41.3828939,2.1774322,"Barcelona, Spain",Bizbarcelona,2019-06-12,Tradeshow,7120
1809,"EAG International and Visitor Attraction Expo will provide the ideal platform for the exhibitors to update themselves about the recent changes and preferences prevailing in the market. EAG International will witness the presence of a large number of manufacturers and owners of different types of organizations, who will display a wide array of latest products to match the needs of the participating visitors and will provide effective business solutions to every organization.",2018-01-18,150,51.50846,0.029846,"Royal Victoria Dock 1 Western Gateway London E16 1XL, London, UK",EAG International and Visitor Attraction Expo,2018-01-16,Trade Show,2000
1810,"Asia Contemporary Art Show features sculpture and photography from some of the world's most interesting and promising artists - from emerging and mid-career artists, to those who have already achieved recognition in private and public collections, and at auction.",2018-03-26,85,22.276793,114.165438,"One Pacific Place, 88 Queensway, Admiralty, Hong Kong, Hong Kong",Asia Contemporary Art Buyer,2018-03-23,Trade Show,15000
1811,"International Conference on Automated Reasoning with Analytic Tableaux and Related Methods is the main international conference at which research on all aspects -- theoretical foundations, implementation techniques, systems development and applications -- of the mechanization of tableaux-based reasoning and related methods is presented. Tableau methods offer a convenient and flexible set of tools for automated reasoning in classical logic, extensions of classical logic, and a large number of non-classical logics. For large groups of logic, tableau methods can be generated automatically. Areas of application include verification of software and computer systems, deductive databases, knowledge representation and its required inference engines, teaching, and system diagnosis.",2019-09-05,-1,51.589078,-0.228807,"The Burroughs, London NW4 4BT, London, UK",International Conference on Automated Reasoning with Analytic Tableaux and Related Methods,2019-09-03,Conference,-1
1812,"The Uksg One Day Conference will examine the status of the e-book in the academic context and review the latest analysis and developments in relation to teaching, learning, and research.",2018-11-14,50,51.5073219,-0.1276474,"London, UK",UKSG One-Day Conference,2018-11-14,Conference,-1
1813,"Stoller objective is employ a shoulder checklist method including interpretation techniques for the rotator cuff and interval, biceps labral complex, inferior glenohumeral ligament complex, and capsular structures including the anterior band, identify glenoid wear patterns in multidirectional instability, microinstability, anterior and posterior instability, develop a knee checklist with foolproof ACL diagnosis and techniques for prospective diagnosis of all types of meniscal tears, differentiating circumferential surface from cross sectional tear patterns.",2019-10-25,50,36.12649,-115.165739,"3131 S Las Vegas Blvd Las Vegas NV 89109, Las Vegas, USA",Stoller,2019-10-23,Conference,-1
1814,"The Belly Baby & Beyond  Conference, organized by the Belly Baby & Beyond will take place from 18th May to 20th May 2018 at the Sea Hotel & Spa in Huntington Beach, United States Of America. The conference will cover areas like the art and the business of pregnancy and newborn photography.",2018-05-20,-1,33.653887,-117.995649,"21080 Pacific Coast Hwy, Huntington Beach, CA 92648, Huntington Beach, USA",Belly Baby & Beyond Conference,2018-05-18,Conference,-1
1815,"RISE is produced by the team behind Web Summit and Collision - two of the largest and fastest-growing tech conferences on the planet. In the conference leaders from the world's biggest companies and most exciting startups will flock to Hong Kong to share their stories. They'll be joined by journalists from major global media outlets, hundreds of influential investors, and thousands of attendees for three days of unparalleled networking potential.",2018-07-12,50,22.319417,113.940675,"Cheong Wing Rd Chek Lap Kok, Hong Kong, Hong Kong",Rise,2018-07-09,Conference,-1
1816,"Miami Salsa Congress is a Latin music and dance festival featuring international dance showcases, dance workshops, award-winning concerts, headlining DJs and non-stop pre-parties, pool-parties, gala events and after-parties.",2018-07-29,50,25.81964,-80.122562,"4525 Collins Ave Miami Beach FL 33140, Miami Beach, USA",Miami Salsa Congress,2018-07-25,Conference,-1
